period,type,h,n,win_rate,mean_raw,mean_mn,t_mn,t_raw,ndays,p_up,p_dn,p_up_mn,p_dn_mn,skew,skew_mn,med,net_intra,net_deliv,net_mn_deliv
train,BREAKOUT,1,122851,0.03579132444994343,0.0013217890212449152,0.00012271023098897095,0.6431624376482625,3.1680922064197365,637,0.049783884543064365,0.026715289252834735,0.04661744715142734,0.019316082083173928,-0.8333660591612327,-0.8308131739510659,-0.00026631158455403536,0.0002517890212449152,-0.0010782109787550846,-0.002277289769011029
train,BREAKOUT,5,121714,,0.005508763867623622,0.00015069767237357745,0.3524807532603206,6.250033357396925,637,0.07000016431963456,0.03464679494552804,0.05857173373646417,0.026159685820858734,0.32818489964299286,0.38933332087846245,0.0008058657624698351,0.004438763867623622,0.0031087638676236223,-0.0022493023276264224
train,BREAKOUT,10,120532,,0.01099776618655013,0.00022958606293613912,0.4425571002466352,8.386708244377042,637,0.12423256894434673,0.06936747087910264,0.10062887863803803,0.06916835363223045,0.469833001023261,0.5230430233235084,0.003323639448867725,0.00992776618655013,0.008597766186550131,-0.0021704139370638605
train,BREAKOUT,21,118707,,0.023017450506233047,-0.00023238713683496387,-0.31256249779127443,10.636103885928344,637,0.13243532394888255,0.057090146326669866,0.09659076549824358,0.0620182466071925,0.6234065391704107,0.678421896949959,0.010855374498332009,0.021947450506233045,0.020617450506233048,-0.002632387136834964
train,REVERSAL,1,11245,0.03948421520675856,0.0006683762042764663,-0.0020789421143606332,-4.1811883610345335,-1.2839088742886717,637,0.06296131614050689,0.05131169408626056,0.04748777234326367,0.039928857269897734,0.23210113871389002,0.1855315672945284,-0.0011531947097194184,-0.00040162379572353365,-0.0017316237957235333,-0.0044789421143606335
train,REVERSAL,5,11124,,0.010144898427937844,-0.006323452275932656,-5.0410433835226245,-0.24875660621269585,637,0.10778496943545487,0.061129090255303845,0.06319669183746854,0.05160014383315354,0.6994676184533789,0.8082605517196328,0.004473335606731467,0.009074898427937845,0.007744898427937845,-0.008723452275932657
train,REVERSAL,10,11029,,0.014201037828147547,-0.00720501851974448,-3.7070774877112487,1.4009151222052239,634,0.1631154229757911,0.10517725995103817,0.09837700607489347,0.08967268111342823,0.8226762432176347,1.004064125408802,0.007971656333038158,0.013131037828147547,0.011801037828147547,-0.00960501851974448
train,REVERSAL,21,10811,,0.017541794344240056,-0.013561788097864616,-5.763540515232257,2.18922385603347,633,0.14411247803163443,0.09370086023494589,0.0816760706687633,0.07288872444732217,0.6382359859155341,0.7742952971372097,0.009236680706421052,0.016471794344240055,0.015141794344240057,-0.015961788097864617
train,CONTINUATION,1,28487,0.05107592937129217,0.0012848077955100736,-0.00012080786726106157,-0.3485953827699547,1.676926639519512,637,0.0715414048513357,0.04156281812756696,0.06574928914943659,0.031628462105521817,0.01855742638638468,0.107709449724626,-0.0018559136156571787,0.00021480779551007363,-0.0011151922044899262,-0.0025208078672610615
train,CONTINUATION,5,27883,,0.006335166534169528,0.0011812812354723933,1.4957958756516156,4.766495184048137,637,0.09851881074489832,0.05024566940429653,0.0789369866944016,0.03711939174407345,0.6915315425227629,0.8270455369963916,-0.0013447638258530996,0.005265166534169528,0.003935166534169528,-0.0012187187645276065
train,CONTINUATION,10,27390,,0.012930691923537567,0.0037268814197353906,3.4856575843212765,7.375491305887635,637,0.16403797006206644,0.09992698064987221,0.13037604965315808,0.08963125228185469,0.9069902670190116,1.0673726035601465,-0.0002361880869992518,0.011860691923537567,0.010530691923537568,0.0013268814197353908
train,CONTINUATION,21,26759,,0.02011631931685243,0.0025021534712801018,1.4956338382926284,7.928456954862161,637,0.1611794162711611,0.09010052692552038,0.12358458836279383,0.07907619866213236,1.2592428380189877,1.4808033813831978,1.665334536937735e-16,0.01904631931685243,0.01771631931685243,0.00010215347128010198
train,FROM-NOWHERE,1,146270,0.01166336227524441,0.0006827052506329778,-0.00025669922376565855,-1.5248448739725398,3.0797964251495467,637,0.017440350037601696,0.007752785943802557,0.015457715184248308,0.0037191495180146305,-0.6772977715692879,-0.608279334241755,-0.00012870705828860185,-0.00038729474936702215,-0.0017172947493670218,-0.002656699223765658
train,FROM-NOWHERE,5,146158,,0.0034742830809539335,-0.0011804507119979027,-3.298658296010336,5.819264578061865,637,0.03152068309637516,0.011535461623722274,0.02339249305546053,0.007327686476279095,0.0017593727082498656,0.0037696700257402378,0.00020417714849563497,0.0024042830809539338,0.0010742830809539338,-0.0035804507119979023
train,FROM-NOWHERE,10,145994,,0.007549122268637272,-0.0014145172271767012,-3.037772126506196,8.170048688712678,637,0.07583188350206173,0.03285751469238462,0.05409126402454895,0.02593257257147554,0.5349516931640973,0.5819168945287242,0.0011552537687920376,0.0064791222686372725,0.005149122268637273,-0.003814517227176701
train,FROM-NOWHERE,21,145605,,0.01714681614192945,-0.0014088580495856071,-2.268563150670908,11.226563303806651,637,0.08512070327255246,0.02756086672847773,0.05755296864805467,0.02531506472991999,0.7469967167343027,0.7913665104835373,0.005954550978247639,0.016076816141929448,0.01474681614192945,-0.003808858049585607
train,OTHER,1,463405,0.0231482180813759,0.0012972992621369532,1.0517766742840448e-06,0.025756421915062437,2.7005178677571795,637,0.037539517268911644,0.019231557708699734,0.029745039436346175,0.009056872498138777,-0.4134440393585998,-0.4775524243706402,-0.0003849114703619039,0.00022729926213695324,-0.0011027007378630466,-0.0023989482233257157
train,OTHER,5,462741,,0.006262823337278106,-5.63312122033128e-05,-0.5776035189806126,5.355023166621116,637,0.05933556784464744,0.023827583896823493,0.040158533607352706,0.012832232285446934,0.44872309926659376,0.5916603752288325,0.0014363471424252386,0.0051928233372781065,0.0038628233372781065,-0.0024563312122033126
train,OTHER,10,461735,,0.010820608583453451,-0.00022270580761450803,-1.6650833147085617,7.067567181537094,637,0.11758692756667785,0.05798997260333308,0.07913630112510422,0.042158380889471235,0.6974187278674256,0.8599182833171674,0.0028759736369083195,0.009750608583453451,0.008420608583453452,-0.0026227058076145077
train,OTHER,21,459156,,0.01939458371864991,-0.00018601374015516026,-0.9415766819560384,9.452252012381644,637,0.122115359485665,0.04961712359198181,0.08060005749679848,0.04133017972105341,0.9182242771909087,1.082067160808106,0.005503194758421665,0.01832458371864991,0.01699458371864991,-0.00258601374015516
train,ALL,1,772258,0.024252257665184435,0.0011751688874927857,4.526606427221643e-08,1.4936753636705422,2.839459139119978,637,0.037304890334577304,0.019538806979014785,0.031309484654092286,0.010960067749379094,-0.4882494745501478,-0.5300089981456274,-0.00034274047184401635,0.00010516888749278574,-0.001224831112507214,-0.0023999547339357274
train,ALL,5,769620,,0.005672732497115516,2.64951597770352e-08,0.33112471543411903,5.706970403724901,637,0.057859722980172036,0.024700501546217613,0.041624438034354616,0.01533484057067124,0.4306831888014876,0.533587141810694,0.0009932459276916876,0.004602732497115516,0.0032727324971155163,-0.0023999735048402227
train,ALL,10,766680,,0.010349504242653913,5.519145586375252e-08,0.44749488117520453,7.6273730861723825,637,0.11299499139145407,0.05716987530651641,0.07985339385401993,0.04569442270569207,0.6763996626606358,0.7962471191235931,0.0025484764542935317,0.009279504242653914,0.007949504242653914,-0.002399944808544136
train,ALL,21,761038,,0.019528684600196963,3.528742414635613e-07,1.083361887102959,10.051078889619383,637,0.11833311871417722,0.04861255285544217,0.0802115006083796,0.043268535868116964,0.880703215296983,1.0093979552958297,0.006382032126442432,0.01845868460019696,0.017128684600196963,-0.0023996471257585364
holdout,BREAKOUT,1,36760,0.029978237214363438,0.000906908035351852,0.0007958668610618036,1.4370694079904156,1.8265355238923933,343,0.03756800870511425,0.02363982589771491,0.03846572361262242,0.020647442872687705,-1.294527875832328,-1.337132954975888,0.00013200075439567804,-0.000163091964648148,-0.0014930919646481478,-0.0016041331389381962
holdout,BREAKOUT,5,35950,,0.0028780183491040803,0.0032527658229160408,2.663966063615818,3.350626523893856,339,0.047705146036161335,0.03162726008344924,0.048344923504867875,0.0278442280945758,-0.562681628090924,-0.620181406873099,0.0009616956646562218,0.0018080183491040803,0.00047801834910408047,0.000852765822916041
holdout,BREAKOUT,10,34956,,0.005810981651359462,0.005836471068696148,3.3898707468654616,4.928260399552396,334,0.09563451195788993,0.06811420070946332,0.09838082160430255,0.05764389518251516,-0.06740505857803208,-0.08990202113825155,0.0019525762485148226,0.004740981651359462,0.003410981651359462,0.003436471068696148
holdout,BREAKOUT,21,33027,,0.008952879073739083,0.008667279788188964,3.3942864805310893,5.792932084693038,323,0.09250007569564296,0.06007206225209677,0.09807127501741,0.052835558785236325,0.34236571472001703,0.3128294383949429,0.004074175394716651,0.007882879073739083,0.006552879073739084,0.006267279788188964
holdout,REVERSAL,1,22109,0.027997648016644804,0.0013877585973831113,-0.001523870891831584,-3.101345718911053,-1.4755493076056752,343,0.0789271337464381,0.05242209055135918,0.04441630105386946,0.02247953322176489,0.589077907773899,0.6968305825231608,-0.0014309076042517965,0.0003177585973831113,-0.0010122414026168885,-0.003923870891831584
holdout,REVERSAL,5,21798,,0.008162748354136334,-0.0032791095232867695,-3.5005272948350497,-1.2468964914444223,339,0.11280851454261859,0.061840535828975134,0.05954674740801908,0.029819249472428665,0.6640889672747797,0.7592111930787312,0.0011462165002627945,0.007092748354136334,0.005762748354136335,-0.00567910952328677
holdout,REVERSAL,10,21550,,0.01570808854043935,-0.004329588038596861,-3.4275679447846326,-0.8501318722934424,334,0.1908120649651972,0.11874709976798144,0.11187935034802785,0.07290023201856148,0.7356194488048939,0.744951984221395,0.00296914526215402,0.014638088540439352,0.013308088540439352,-0.00672958803859686
holdout,REVERSAL,21,21110,,0.04054827369618807,-0.00331802471221607,-1.9225914828733905,0.15977904840586651,323,0.21032685930838466,0.0892941733775462,0.10094741828517291,0.058266224538133585,0.6408825678435023,0.8958915822753671,0.028116779671107504,0.03947827369618807,0.03814827369618807,-0.0057180247122160695
holdout,CONTINUATION,1,19851,0.040400987355800715,0.00048407301986346435,-0.0005203102020006196,-0.7867507480458114,-0.42532266051307643,343,0.06140748576897889,0.042718250969724446,0.053700065487884745,0.030829681124376607,-0.29882464662607733,-0.33471664915156996,-0.0017021276595744483,-0.0005859269801365356,-0.0019159269801365354,-0.0029203102020006195
holdout,CONTINUATION,5,19327,,-0.001540485639192981,-0.003703822342505888,-2.955924068425712,-1.5569139567747774,339,0.07471413049102292,0.055776892430278883,0.06095100119004501,0.03632224349355823,0.42688618006928664,0.4231626441069339,-0.007371975239167282,-0.0026104856391929807,-0.00394048563919298,-0.006103822342505888
holdout,CONTINUATION,10,18708,,-0.0048125447716835905,-0.0075145285928836245,-4.70086327629574,-2.1462547675117656,334,0.11545862732520847,0.12534744494333974,0.09610861663459483,0.09161855890528116,0.6914241728778032,0.8093826115819501,-0.013658766197952477,-0.00588254477168359,-0.00721254477168359,-0.009914528592883625
holdout,CONTINUATION,21,17704,,-0.0026676889132128748,-0.013509840495208814,-5.84880621932707,-2.2819043352295503,323,0.10822413014008134,0.09133529145955717,0.09144826028016267,0.07975598734749209,0.7007105462906046,0.8440960843627011,-0.015279866053596079,-0.0037376889132128745,-0.005067688913212874,-0.015909840495208813
holdout,FROM-NOWHERE,1,89552,0.008832856887618368,-0.0005215724859477552,-0.0002512322824882221,-0.8558222249988601,-0.2858807525219092,343,0.012182865820975523,0.006175183133821691,0.009994193317848848,0.0038190101840271575,-3.075143519947635,-3.9085083829205614,-0.0008600124929112885,-0.0015915724859477552,-0.002921572485947755,-0.002651232282488222
holdout,FROM-NOWHERE,5,88428,,-0.0021937181291119307,-0.0008310158792638013,-1.2251570808660273,-0.2683752003939356,339,0.020287691681367893,0.012258560636902338,0.01542497851359298,0.007554168362961957,-0.6909922076704308,-0.9851471419332374,-0.0028230866440979428,-0.003263718129111931,-0.0045937181291119305,-0.003231015879263801
holdout,FROM-NOWHERE,10,86842,,-0.0038745936140549635,-0.0016804325325690116,-1.7595139354354206,0.007931981389235522,334,0.046647935330830705,0.04410308376131365,0.03745883328343428,0.0251836668892932,-0.4144427110651148,-0.6825956132569723,-0.0045845670088314385,-0.004944593614054964,-0.006274593614054963,-0.004080432532569012
holdout,FROM-NOWHERE,21,83733,,-0.0075875547141031185,-0.0016981275724532994,-1.3322312841624269,0.8957783255485011,323,0.045250976317580884,0.042623577323158135,0.039661782093081584,0.02488863411080458,-0.04189990023496288,-0.2331139937332209,-0.0079818789774565,-0.008657554714103118,-0.009987554714103118,-0.004098127572453299
holdout,OTHER,1,320556,0.020894945033005152,0.0001646814431793994,-9.194950379981325e-05,-1.409640804021565,0.028054088247402364,343,0.03806823144785935,0.023399967556370804,0.026943810129899298,0.011115062578769389,-0.21363627616773617,-0.4218708439246995,-0.0012088359970036655,-0.0009053185568206006,-0.0022353185568206005,-0.002491949503799813
holdout,OTHER,5,316102,,0.0009168555296408011,-0.0005239502679659731,-3.568613977959489,-0.013383640522704824,339,0.057576351937032984,0.03446039569506046,0.03633320890092438,0.016776230457257468,0.3266156874571445,0.3349226783778141,-0.0032786885245901613,-0.00015314447035919888,-0.0014831444703591987,-0.002923950267965973
holdout,OTHER,10,310636,,0.0028538744308460495,-0.0008913088253405215,-4.1504986605158445,0.3233410158247829,334,0.11041540581259095,0.08136532790790507,0.07376801143460514,0.048761251110624654,0.4785797589460282,0.516448915978478,-0.0038473775686163965,0.0017838744308460496,0.00045387443084604975,-0.0032913088253405214
holdout,OTHER,21,297903,,0.005497508425737122,-0.0021008399497053003,-6.674456091154336,0.5291617319946731,323,0.10799152744349672,0.07745474197977194,0.07070422251538253,0.04351416400640477,0.6531220411430737,0.8143107885042014,-0.004219409282700309,0.004427508425737122,0.003097508425737122,-0.0045008399497053
holdout,ALL,1,488828,0.020481641804479284,0.0001630655223608489,1.1175049167778217e-07,0.9300240714711452,0.16078250245448145,343,0.03608426685869058,0.022359602968733377,0.02658194702431121,0.01180987995777656,-0.4005781308776582,-0.7071854069499742,-0.0008751144437524339,-0.0009069344776391511,-0.0022369344776391508,-0.002399888249508322
holdout,ALL,5,481605,,0.0007214566755629189,6.643874866475167e-09,0.035276457336163275,0.29228175663623485,339,0.05318051099967816,0.03226710686143209,0.035429449445084665,0.017283873713935693,0.2598592058950264,0.17015097133663457,-0.0023890105514632275,-0.00034854332443708114,-0.001678543324437081,-0.0023999933561251333
holdout,ALL,10,472692,,0.002119019518272503,4.895683630567148e-07,1.0745471656302816,0.7144923433555374,334,0.10147199444881656,0.07698459038866746,0.07153918407758117,0.04788318820712007,0.447673967535905,0.3955381036330681,-0.0030843063812304406,0.0010490195182725028,-0.000280980481727497,-0.002399510431636943
holdout,ALL,21,453477,,0.004645941390746964,4.84067416037734e-07,0.8261773906157257,1.1549398303581393,323,0.10005138077565125,0.0708503408111106,0.06918322208182554,0.04285553622344684,0.6281115933237444,0.6830367200115217,-0.003003555228637965,0.0035759413907469643,0.0022459413907469643,-0.002399515932583962
