date,engine,tag,n,pnl,win_pct
2026-09-08,v5,clean,35,-1110.3,40
2026-09-08,v5,reclaim,8,-499.2,25
2026-09-08,v5,untagged,0,0,0
2026-09-08,v5_wide,clean,31,2481.1,45
2026-09-08,v5_wide,reclaim,20,-256.7,60
2026-09-08,v5_wide,untagged,0,0,0
2026-09-09,v5,clean,45,781.0,64
2026-09-09,v5,reclaim,11,-399.9,36
2026-09-09,v5,untagged,0,0,0
2026-09-09,v5_wide,clean,44,71.9,50
2026-09-09,v5_wide,reclaim,10,-144.2,40
2026-09-09,v5_wide,untagged,11,-2167.3,36
2026-09-10,v5,clean,28,-1000.5,54
2026-09-10,v5,reclaim,10,-327.5,20
2026-09-10,v5,untagged,0,0,0
2026-09-10,v5_wide,clean,10,-424.3,20
2026-09-10,v5_wide,reclaim,1,137.3,100
2026-09-10,v5_wide,untagged,0,0,0
2026-09-11,v5,clean,39,-290.6,49
2026-09-11,v5,reclaim,10,-245.4,30
2026-09-11,v5,untagged,0,0,0
2026-09-11,v5_wide,clean,50,1278.0,38
2026-09-11,v5_wide,reclaim,20,-1399.3,10
2026-09-11,v5_wide,untagged,3,1180.7,67
